id,area,compactness,density,adjacentRooms,y_label
lot_plan_01A101_room1,13.16171418,27.19333507,0.000314534,1,5
lot_plan_01A101_room3,6.162363904,13.31826296,0.000679156,4,2
lot_plan_01A101_room4,2.886449246,28.05702891,0.000598622,3,3
lot_plan_01A101_room5,5.814966085,27.11325365,0.000388821,5,4
lot_plan_01A101_room6,40.23890085,10.08507542,7.66E-05,6,0
lot_plan_01A101_room7,12.5735049,13.56703753,0.000111653,3,1
lot_plan_01A101_room8,17.62085079,7.652468711,0.000206224,2,1
lot_plan_01A102_room1,19.16840466,12.34912856,0.000180913,3,1
lot_plan_01A102_room2,4.99365722,14.67971835,0.000519066,3,2
lot_plan_01A102_room3,32.60441015,11.25531409,5.61E-05,3,0
lot_plan_01A102_room4,5.057085024,13.12783123,0.000527525,3,3
lot_plan_01A102_room5,7.013026505,20.52672341,0.000147772,6,4
lot_plan_01A102_room6,14.68395138,10.56728426,0.000102488,3,1
lot_plan_01A102_room7,15.60916801,20.71180271,0.00027988,3,5
lot_plan_01A103_room1,21.10121975,13.47116344,0.000205511,3,1
lot_plan_01A103_room2,7.221712721,18.85427122,0.000576082,4,2
lot_plan_01A103_room3,6.547124687,19.81244464,0.000155437,6,4
lot_plan_01A103_room4,27.96605819,10.61033129,8.38E-05,4,0
lot_plan_01A103_room5,3.481462168,9.684378757,0.000309241,3,3
lot_plan_01A103_room6,16.23819941,15.47520296,0.000130929,5,1
lot_plan_01A103_room7,17.05617473,20.75809975,0.000277259,3,5
lot_plan_01A104_room1,21.07584531,10.16496753,0.000209383,3,1
lot_plan_01A104_room2,7.234031266,17.09833641,0.000616671,3,2
lot_plan_01A104_room3,29.37077872,10.17220588,6.39E-05,3,0
lot_plan_01A104_room4,6.523972951,22.11024546,0.000172668,6,4
lot_plan_01A104_room5,3.623526137,10.02643597,0.000338836,3,3
lot_plan_01A104_room6,14.72355676,13.8153813,0.000113637,3,1
lot_plan_01A104_room7,16.63761053,23.03069534,0.000289259,3,5
lot_plan_01A105_room1,13.1198625,21.65935474,0.000147664,4,1
lot_plan_01A105_room2,19.57745502,14.33507765,0.000269687,2,1
lot_plan_01A105_room3,7.243830237,13.28682792,0.000166193,4,2
lot_plan_01A105_room4,6.563874675,27.12584133,0.000740409,3,4
lot_plan_01A105_room5,3.460832933,18.47455903,0.000150751,5,3
lot_plan_01A105_room6,49.77447678,18.69656872,0.000360733,3,0
lot_plan_01A106_room1,20.49018251,13.2245005,0.000206661,3,1
lot_plan_01A106_room2,7.367442737,11.25541712,0.000700338,3,2
lot_plan_01A106_room3,4.126780309,12.7185422,0.000408351,3,3
lot_plan_01A106_room4,31.05798483,13.56081795,8.80E-05,4,0
lot_plan_01A106_room5,5.878608354,26.31713824,0.000174459,6,4
lot_plan_01A106_room6,6.859780712,14.96941184,0.000173495,4,4
lot_plan_01A106_room7,15.17597412,11.51546045,0.000151384,3,1
lot_plan_01A106_room8,9.012074193,11.74558085,0.000480227,2,5
lot_plan_01A107_room1,55.65449633,56.26927803,0.000346028,2,0
lot_plan_01A107_room2,12.25929105,21.43920653,0.000164027,3,2
lot_plan_01A107_room3,31.72704542,18.64526555,0.0006661,3,1
lot_plan_01A108_room1,13.74818155,7.428697351,0.001092426,2,1
lot_plan_01A108_room2,6.108596625,19.56489592,0.000162628,2,2
lot_plan_01A108_room3,11.08539601,7.799865013,0.000112556,3,1
lot_plan_01A108_room4,12.69669463,10.08569443,0.000110634,3,1
lot_plan_01A108_room5,12.56620363,25.38153808,0.0002924,5,4
lot_plan_01A108_room6,10.4072937,33.97484497,0.000668016,2,2
lot_plan_01A108_room7,32.04824454,8.871609211,0.000185443,3,0
lot_plan_01A201_room1,16.1156385,32.97498065,0.00044336,2,5
lot_plan_01A201_room2,7.409404344,18.93273525,0.000272291,2,2
lot_plan_01A201_room3,2.405021309,18.42903834,0.000504617,3,4
lot_plan_01A201_room4,3.839242762,13.57079709,0.000380432,4,3
lot_plan_01A201_room5,48.96400498,16.66197403,0.000314363,3,0
lot_plan_01A201_room6,20.71152772,16.77233821,5.57E-05,5,1
lot_plan_01A202_room1,14.78375106,13.86773962,7.93E-05,4,1
lot_plan_01A202_room2,15.77671751,20.57277945,0.000256682,2,5
lot_plan_01A202_room3,2.870244396,9.838758679,0.000274965,3,3
lot_plan_01A202_room4,6.926893504,20.23290334,0.000152994,5,4
lot_plan_01A202_room5,6.46362774,26.20440291,0.000515236,3,2
lot_plan_01A202_room6,33.97598482,12.2845928,7.52E-05,4,0
lot_plan_01A202_room7,18.84408233,11.41917148,0.000151717,3,1
lot_plan_01A203_room1,15.42269199,12.81890583,0.000113199,3,1
lot_plan_01A203_room2,17.46141446,19.00780629,0.000270965,3,5
lot_plan_01A203_room3,3.217472769,8.719607454,0.000261285,3,3
lot_plan_01A203_room4,6.707999924,20.54449071,0.000169108,6,4
lot_plan_01A203_room5,7.280749801,18.40502682,0.000548887,3,2
lot_plan_01A203_room6,28.81581302,10.47350922,9.13E-05,3,0
lot_plan_01A203_room7,20.22541223,11.48825323,0.000166397,3,1
lot_plan_01A204_room1,17.1433858,23.93188685,0.000266663,3,5
lot_plan_01A204_room2,14.79251735,16.90161607,0.000109295,4,1
lot_plan_01A204_room3,3.539891416,9.505237612,0.000276545,3,3
lot_plan_01A204_room4,6.885972859,21.4496614,0.000177969,6,4
lot_plan_01A204_room5,7.138300083,25.5436206,0.000528289,4,2
lot_plan_01A204_room6,30.7183386,10.22102307,8.93E-05,3,0
lot_plan_01A204_room7,19.74077523,9.848550775,0.000156409,3,1
lot_plan_01A205_room1,11.93524034,10.91504829,0.000116821,1,1
lot_plan_01A205_room2,7.459843149,21.25279287,0.000607521,3,2
lot_plan_01A205_room3,6.853769499,19.49161702,0.000139079,4,4
lot_plan_01A205_room4,3.414153402,8.075160904,0.000208178,3,3
lot_plan_01A205_room5,53.05986976,28.78364719,0.000133222,4,0
lot_plan_01A205_room6,16.67222411,11.87410552,0.000145668,3,1
lot_plan_01A206_room1,8.119955474,16.09828933,0.000289458,1,5
lot_plan_01A206_room2,38.74776172,18.79910822,9.86E-05,4,0
lot_plan_01A206_room3,6.85639557,18.65646047,0.000195112,5,4
lot_plan_01A206_room4,7.010200598,12.74452736,0.000312207,3,2
lot_plan_01A206_room5,4.000372146,19.82487999,0.000591814,3,3
lot_plan_01A206_room6,18.52018924,10.38571243,0.000149061,3,1
lot_plan_01A206_room7,15.4652512,11.71746594,0.000103172,3,1
lot_plan_01A207_room1,13.3209321,28.72310786,0.000608227,2,2
lot_plan_01A207_room2,30.45904792,30.11657115,0.000154689,2,1
lot_plan_01A207_room3,55.58751039,35.39529332,0.000173409,2,0
lot_plan_01A208_room1,15.93689461,8.500102329,0.000154333,2,1
lot_plan_01A208_room2,11.8572747,8.048323521,9.93E-05,4,1
lot_plan_01A208_room4,2.395981669,10.77093722,0.000768538,3,3
lot_plan_01A208_room5,9.223624956,14.41153414,0.00092248,3,2
lot_plan_01A208_room6,12.82631177,24.88344291,0.000194826,8,4
lot_plan_01A208_room7,13.95611621,12.95984383,0.000113508,4,1
lot_plan_01A208_room8,8.290711672,15.57066675,0.000290317,4,5
lot_plan_01A208_room9,24.36929302,8.768524675,5.87E-05,3,0
lot_plan_01A301_room1,10.01440685,16.19801299,0.000414345,1,5
lot_plan_01A301_room3,6.383464907,21.45114507,0.000525219,4,2
lot_plan_01A301_room4,2.986898449,17.58448572,0.000392517,4,4
lot_plan_01A301_room5,4.133655851,12.0606762,0.000309483,4,3
