Model,Training_acc,Testing_acc
relulayer: 2,0.8462099125364432,0.7783783783783783
sigmoidlayer: 3h_para: 5,0.8764577259475219,0.8202702702702703
relulayer: 3h_para: 5,0.8943148688046647,0.8486486486486486
sigmoidlayer: 3h_para: 10,0.8943148688046647,0.8405405405405406
relulayer: 3h_para: 10,0.9012390670553936,0.8608108108108108
sigmoidlayer: 3h_para: 30,0.9023323615160349,0.8486486486486486
relulayer: 3h_para: 30,0.9296647230320699,0.8202702702702702
sigmoidlayer: 3h_para: 50,0.9034256559766763,0.8500000000000001
relulayer: 3h_para: 50,0.9402332361516035,0.8216216216216217
sigmoidlayer: 3h_para: 100,0.9092565597667638,0.8432432432432433
relulayer: 3h_para: 100,0.952259475218659,0.7945945945945945
"sigmoidlayer: 4h_para: [5, 5]",0.8090379008746356,0.8364864864864865
"relulayer: 4h_para: [5, 5]",0.8884839650145773,0.8283783783783784
"sigmoidlayer: 4h_para: [5, 10]",0.8862973760932945,0.8391891891891892
"relulayer: 4h_para: [5, 10]",0.8997813411078718,0.8513513513513514
"sigmoidlayer: 4h_para: [10, 5]",0.8877551020408163,0.8391891891891892
"relulayer: 4h_para: [10, 5]",0.9081632653061225,0.8175675675675677
"sigmoidlayer: 4h_para: [10, 10]",0.9048833819241983,0.8432432432432432
"relulayer: 4h_para: [10, 10]",0.9231049562682215,0.8216216216216217
"sigmoidlayer: 4h_para: [10, 30]",0.9034256559766763,0.8418918918918918
"relulayer: 4h_para: [10, 30]",0.944606413994169,0.7891891891891891
"sigmoidlayer: 4h_para: [30, 10]",0.9132653061224489,0.8297297297297297
"relulayer: 4h_para: [30, 10]",0.9540816326530612,0.8216216216216217
"sigmoidlayer: 4h_para: [30, 30]",0.9136297376093294,0.8243243243243243
"relulayer: 4h_para: [30, 30]",0.971938775510204,0.8067567567567567
"sigmoidlayer: 4h_para: [30, 50]",0.9172740524781341,0.8216216216216217
"relulayer: 4h_para: [30, 50]",0.9792274052478134,0.8
"sigmoidlayer: 4h_para: [50, 30]",0.9190962099125364,0.8081081081081082
"relulayer: 4h_para: [50, 30]",0.9759475218658893,0.804054054054054
"sigmoidlayer: 4h_para: [50, 50]",0.9187317784256559,0.8108108108108109
"relulayer: 4h_para: [50, 50]",0.9795918367346939,0.8067567567567568
"sigmoidlayer: 4h_para: [50, 100]",0.9187317784256559,0.8135135135135135
"relulayer: 4h_para: [50, 100]",0.989067055393586,0.8256756756756757
"sigmoidlayer: 4h_para: [100, 50]",0.9238338192419825,0.8040540540540541
"relulayer: 4h_para: [100, 50]",0.9883381924198251,0.8148648648648649
"sigmoidlayer: 4h_para: [100, 100]",0.9256559766763848,0.8094594594594595
"relulayer: 4h_para: [100, 100]",0.9868804664723032,0.8216216216216216
