Model,Training_acc,Testing_acc
"C=0.5,sigma=0.001,RBF kernel",0.8833819241982507,0.6162162162162163
"C=0.5,Linear kernel",0.6880466472303207,0.654054054054054
"C=0.5,sigma=0.005,RBF kernel",0.8469387755102041,0.7405405405405405
"C=0.5,Linear kernel",0.6880466472303207,0.654054054054054
"C=0.5,sigma=0.01,RBF kernel",0.8352769679300291,0.7567567567567568
"C=0.5,Linear kernel",0.6880466472303207,0.654054054054054
"C=0.5,sigma=0.05,RBF kernel",0.7813411078717201,0.7297297297297297
"C=0.5,Linear kernel",0.6880466472303207,0.654054054054054
"C=0.5,sigma=0.1,RBF kernel",0.7638483965014577,0.7027027027027027
"C=0.5,Linear kernel",0.6880466472303207,0.654054054054054
"C=0.5,sigma=0.5,RBF kernel",0.7142857142857143,0.6216216216216216
"C=0.5,Linear kernel",0.6880466472303207,0.654054054054054
"C=1,sigma=0.001,RBF kernel",0.89067055393586,0.6648648648648648
"C=1,Linear kernel",0.7084548104956269,0.6216216216216216
"C=1,sigma=0.005,RBF kernel",0.8629737609329446,0.7513513513513513
"C=1,Linear kernel",0.7084548104956269,0.6216216216216216
"C=1,sigma=0.01,RBF kernel",0.8527696793002916,0.7567567567567568
"C=1,Linear kernel",0.7084548104956269,0.6216216216216216
"C=1,sigma=0.05,RBF kernel",0.8134110787172012,0.745945945945946
"C=1,Linear kernel",0.7084548104956269,0.6216216216216216
"C=1,sigma=0.1,RBF kernel",0.7725947521865889,0.7297297297297297
"C=1,Linear kernel",0.7084548104956269,0.6216216216216216
"C=1,sigma=0.5,RBF kernel",0.7303206997084548,0.6594594594594595
"C=1,Linear kernel",0.7084548104956269,0.6216216216216216
"C=3,sigma=0.001,RBF kernel",0.9096209912536443,0.7081081081081081
"C=3,Linear kernel",0.7317784256559767,0.6
"C=3,sigma=0.005,RBF kernel",0.8702623906705539,0.745945945945946
"C=3,Linear kernel",0.7317784256559767,0.6
"C=3,sigma=0.01,RBF kernel",0.858600583090379,0.7513513513513513
"C=3,Linear kernel",0.7317784256559767,0.6
"C=3,sigma=0.05,RBF kernel",0.8425655976676385,0.7621621621621621
"C=3,Linear kernel",0.7317784256559767,0.6
"C=3,sigma=0.1,RBF kernel",0.8075801749271136,0.7513513513513513
"C=3,Linear kernel",0.7317784256559767,0.6
"C=3,sigma=0.5,RBF kernel",0.7521865889212828,0.6594594594594595
"C=3,Linear kernel",0.7317784256559767,0.6
"C=5,sigma=0.001,RBF kernel",0.9314868804664723,0.7351351351351352
"C=5,Linear kernel",0.7332361516034985,0.5945945945945946
"C=5,sigma=0.005,RBF kernel",0.8819241982507289,0.7891891891891892
"C=5,Linear kernel",0.7332361516034985,0.5945945945945946
"C=5,sigma=0.01,RBF kernel",0.8673469387755102,0.7945945945945946
"C=5,Linear kernel",0.7332361516034985,0.5945945945945946
"C=5,sigma=0.05,RBF kernel",0.8513119533527697,0.7567567567567568
"C=5,Linear kernel",0.7332361516034985,0.5945945945945946
"C=5,sigma=0.1,RBF kernel",0.8309037900874635,0.745945945945946
"C=5,Linear kernel",0.7332361516034985,0.5945945945945946
"C=5,sigma=0.5,RBF kernel",0.7551020408163265,0.6810810810810811
"C=5,Linear kernel",0.7332361516034985,0.5945945945945946
"C=10,sigma=0.001,RBF kernel",0.9518950437317785,0.7189189189189189
"C=10,Linear kernel",0.7434402332361516,0.6378378378378379
"C=10,sigma=0.005,RBF kernel",0.8833819241982507,0.7945945945945946
"C=10,Linear kernel",0.7434402332361516,0.6378378378378379
"C=10,sigma=0.01,RBF kernel",0.8731778425655977,0.7891891891891892
"C=10,Linear kernel",0.7434402332361516,0.6378378378378379
"C=10,sigma=0.05,RBF kernel",0.8454810495626822,0.7621621621621621
"C=10,Linear kernel",0.7434402332361516,0.6378378378378379
"C=10,sigma=0.1,RBF kernel",0.8454810495626822,0.7567567567567568
"C=10,Linear kernel",0.7434402332361516,0.6378378378378379
"C=10,sigma=0.5,RBF kernel",0.7798833819241983,0.7027027027027027
"C=10,Linear kernel",0.7434402332361516,0.6378378378378379
